fclass,name,type,management,xlong,ylat
building,,semidetached_house,ABC Housing ltd,644930.5846,6116329.196
building,,house,ABC Housing ltd,649313.7086,6110434.217
building,,terrace,ABC Housing ltd,649044.8595,6118411.803
building,,house,ABC Housing ltd,647587.8875,6112884.248
building,,house,ABC Housing ltd,647350.5829,6110675.828
building,,house,ABC Housing ltd,647301.7828,6110731.309
building,,terrace,ABC Housing ltd,649165.0661,6113254.02
building,,house,ABC Housing ltd,645530.3004,6117021.199
building,,house,ABC Housing ltd,649349.5132,6110298.209
building,,house,ABC Housing ltd,646210.5423,6116180.542
building,,house,ABC Housing ltd,647672.6695,6112925.281
building,,semidetached_house,ABC Housing ltd,649411.8064,6119053.82
building,,terrace,ABC Housing ltd,649149.1017,6113268.048
building,,terrace,ABC Housing ltd,649143.7175,6113271.468
building,,semidetached_house,ABC Housing ltd,648720.6226,6119029.031
building,,house,ABC Housing ltd,645752.8284,6116616.55
building,,house,ABC Housing ltd,647519.9821,6113017.558
building,,terrace,ABC Housing ltd,649166.483,6113299.58
building,,house,ABC Housing ltd,649247.457,6110404.802
building,,terrace,ABC Housing ltd,649878.335,6112506.701
building,,semidetached_house,ABC Housing ltd,649526.4612,6118984.153
building,,house,ABC Housing ltd,650288.9584,6119173.222
building,,semidetached_house,ABC Housing ltd,649539.2443,6118947.944
building,,house,ABC Housing ltd,649441.9167,6109999.58
building,,terrace,ABC Housing ltd,645566.9438,6116999.283
building,,semidetached_house,ABC Housing ltd,647547.4015,6112776.009
building,,house,ABC Housing ltd,647625.6216,6110706.087
building,,house,ABC Housing ltd,649573.7323,6113516.958
building,,semidetached_house,ABC Housing ltd,646445.9296,6116035.296
building,,house,ABC Housing ltd,649922.4471,6112446.806
building,,house,ABC Housing ltd,649921.5883,6112458.234
building,,house,ABC Housing ltd,649509.6105,6119077.096
building,,house,ABC Housing ltd,649702.1902,6118712.907
building,,house,ABC Housing ltd,645499.7504,6116040.919
building,,house,ABC Housing ltd,649912.2934,6112316.971
building,,terrace,ABC Housing ltd,649663.8251,6112448.687
building,,house,ABC Housing ltd,649920.6213,6112361.448
building,,house,ABC Housing ltd,649921.0077,6112355.086
building,,semidetached_house,ABC Housing ltd,648375.7091,6113104.871
building,,house,ABC Housing ltd,649212.1366,6110251.509
building,,semidetached_house,ABC Housing ltd,647567.6166,6110178.373
building,,house,ABC Housing ltd,649827.7726,6112270.731
building,,semidetached_house,ABC Housing ltd,647561.1247,6110093.552
building,,house,ABC Housing ltd,647234.6607,6113159.136
building,,terrace,ABC Housing ltd,649657.2043,6118658.317
building,,house,ABC Housing ltd,648681.326,6112235.179
building,,house,ABC Housing ltd,645324.9418,6116338.873
building,,semidetached_house,ABC Housing ltd,646485.9482,6115983.728
building,,house,ABC Housing ltd,649680.7453,6119159.286
building,,house,ABC Housing ltd,649633.0887,6119174.429
building,,house,ABC Housing ltd,647226.8685,6113169.905
building,,house,ABC Housing ltd,649677.6229,6119197.793
building,,house,ABC Housing ltd,649726.7058,6112923.323
building,,house,ABC Housing ltd,648745.5853,6112683.464
building,,house,ABC Housing ltd,649265.6438,6110059.797
building,,semidetached_house,ABC Housing ltd,646469.3141,6118032.33
building,,house,ABC Housing ltd,647104.0429,6112969.481
building,,terrace,ABC Housing ltd,649181.3841,6113935.678
building,,house,ABC Housing ltd,649566.417,6118733.278
building,,house,ABC Housing ltd,649530.8943,6119192.164
building,,semidetached_house,ABC Housing ltd,647583.0417,6110130.113
building,,semidetached_house,ABC Housing ltd,648732.6361,6112990.329
building,,house,ABC Housing ltd,650300.628,6109986.178
building,,terrace,ABC Housing ltd,649221.7573,6113982.548
building,,house,ABC Housing ltd,648550.7939,6113100.12
building,,house,ABC Housing ltd,645790.3517,6116744.046
building,,semidetached_house,ABC Housing ltd,648637.01,6113100.101
building,,semidetached_house,ABC Housing ltd,646103.6057,6116361.074
building,,terrace,ABC Housing ltd,649254.1882,6113289.469
building,,semidetached_house,ABC Housing ltd,646128.6692,6116364.888
building,,house,ABC Housing ltd,646117.4467,6116303.738
building,,house,ABC Housing ltd,646734.2673,6117605.216
building,,house,ABC Housing ltd,649914.1188,6110177.909
building,,terrace,ABC Housing ltd,649824.3995,6112333.233
