fid,ORGANISATI,SUB_BUILDI,BUILDING_N,BUILDING_1,PRIMARY_TH,ALT_THORFA,SECONDARY_,LOCALITY,TOWNLAND,TOWN,COUNTY,POSTCODE,BLPU,UNIQUE_BUI,UPRN,USRN,LOCAL_COUN,X_COR,Y_COR,TEMP_COORD,BUILDING_S,ADDRESS_ST,CLASSIFICA,CREATION_D,COMMENCEME,ARCHIVED_D,ACTION_,UDPRN,POSTTOWN,xlong,ylat
"1",,,,"8",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116625","185537593","7859",COLERAINE,"284190","432472",N,BUILT,APPROVED,DO_TERRACE,,,,,,COLERAINE,647851.781440575,6111970.61250037
"2",LUGANO CAFE,,,"8",WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"186117432","185770298","35792",COLERAINE,"284472","432417",N,BUILT,APPROVED,ND_RETAIL,,,,,,COLERAINE,648134.468307261,6111919.66903568
"3",,,,"2",CASTLE LANE,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DR,,"186117349","185844537","7114",COLERAINE,"284420","432480",N,BUILT,APPROVED,,,,,,,COLERAINE,648081.584956167,6111981.90219778
"4",,,,"4",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116648","185537575","7859",COLERAINE,"284195","432460",N,BUILT,APPROVED,DO_TERRACE,,,,,,COLERAINE,647856.951442773,6111958.68835593
"5",,,,"22",CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186116771","185536746","7204",COLERAINE,"284227","432604",N,BUILT,APPROVED,DO_SEMI,,,,,"3622839",COLERAINE,647886.878601621,6112103.09511307
"6",,,,"8",CARTHALL ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LR,,"186116106","185537467","7526",COLERAINE,"284065","432653",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623526",COLERAINE,647724.234905744,6112149.7585022
"7",,"2",,11B,WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"187055804","185986606","35792",COLERAINE,"284472","432432",Y,UNDER CONSTRUCTION,PROVISIONAL,DO_APART,,,,,,COLERAINE,648134.253576879,6111934.66369409
"8",,FLAT 25,HAZLETT COURT,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HL,,"186850610","185770252","7204",COLERAINE,"284405","432480",N,BUILT,APPROVED,DO_APART,,,,,"3622784",COLERAINE,648066.590298934,6111981.68746615
"9",,FLAT 10,HAZLETT COURT,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HL,,"186850610","185770237","7204",COLERAINE,"284405","432480",N,BUILT,APPROVED,DO_APART,,,,,"3622769",COLERAINE,648066.590298934,6111981.68746615
"10",,FLAT 5,HAZLETT COURT,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HL,,"186850610","185770232","7204",COLERAINE,"284405","432480",N,BUILT,APPROVED,DO_APART,,,,,"3622794",COLERAINE,648066.590298934,6111981.68746615
"11",,,,41A,CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186922031","185770184","7860",COLERAINE,"284216","432477",N,BUILT,APPROVED,DO_APART,,,,,"51099882",COLERAINE,647877.700594194,6111975.98291858
"12",,,,"34",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186116918","185535802","7860",COLERAINE,"284264","432436",N,BUILT,APPROVED,DO_TERRACE,,,,,,COLERAINE,647926.270415537,6111935.68467272
"13",,,,"22",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186117035","185535791","7860",COLERAINE,"284297","432433",N,BUILT,APPROVED,DO_TERRACE,,,,,,COLERAINE,647959.301600836,6111933.15814885
"14",,,,"14",OLD MODEL COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3AR,,"186983065","185534969","610",COLERAINE,"284048","432705",N,BUILT,APPROVED,DO_APART,,,,,"3620938",COLERAINE,647706.496552863,6112201.4965826
"15",,,,"14",CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186116891","185536738","7204",COLERAINE,"284258","432572",N,BUILT,APPROVED,DO_SEMI,,,,,"3622831",COLERAINE,647918.325650527,6112071.55030387
"16",,,,"17",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186117004","185535785","7860",COLERAINE,"284282","432462",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621771",COLERAINE,647943.891800397,6111961.93308273
"17",,,,"17",CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186116353","185536741","7204",COLERAINE,"284123","432782",N,BUILT,APPROVED,DO_DETACHED,,,,,"3622834",COLERAINE,647780.36748045,6112279.54280132
"18",,,,"1",OLD MODEL COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3AR,,"186116145","185534956","610",COLERAINE,"284076","432750",N,BUILT,APPROVED,DO_TERRACE,,,,,"3620933",COLERAINE,647733.842352773,6112246.88137047
"19",,,,"3",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LY,,"186116721","185537550","7859",COLERAINE,"284215","432495",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623607",COLERAINE,647876.443272844,6111993.96218594
"20",,,,"10",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186117253","185844517","7860",COLERAINE,"284377","432426",N,BUILT,APPROVED,,,,,,,COLERAINE,648039.373304436,6111927.30587167
"21",,,,"12",CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186116914","185536736","7204",COLERAINE,"284263","432566",N,BUILT,APPROVED,DO_SEMI,,,,,"3622829",COLERAINE,647923.409761796,6112065.62402039
"22",,,,"18",CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186116833","185536742","7204",COLERAINE,"284242","432588",N,BUILT,APPROVED,DO_SEMI,,,,,"3622835",COLERAINE,647902.102304297,6112087.31555106
"23",,,,"6",CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186117012","185536750","7204",COLERAINE,"284287","432541",N,BUILT,APPROVED,DO_DETACHED,,,,,"3622847",COLERAINE,647947.759096723,6112040.9765041
"24",WATERSIDE OFF LICENCE,,,"10",WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"186117418","185535700","35792",COLERAINE,"284466","432418",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621665",COLERAINE,648128.456128462,6111920.58278748
"25",,,,"13",LISLEA COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HN,,"186116892","185536717","14325",COLERAINE,"284258","432673",N,BUILT,APPROVED,DO_SEMI,,,,,"3622803",COLERAINE,647916.879769655,6112172.51430191
"26",,,,"70",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116223","185537592","7859",COLERAINE,"284092","432650",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623652",COLERAINE,647751.26822138,6112147.14609591
